"Name","Effect"
"adaptability","Increases the Same Type Attack Bonus from *1.5 to *2."
"aerilate","Normal-type moves become Flying-type moves. The power of those moves is boosted a little."
"aftermath","Damages the attacker if it knocks out the Pokémon with a move that makes direct contact."
"air-lock","Eliminates the effects of weather."
"analytic","Boosts the power of the Pokémon's move if it is the last to act that turn."
"anger-point","The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
"anger-shell","When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats."
"anticipation","The Pokémon can sense an opposing Pokémon's dangerous moves."
"arena-trap","Prevents opposing Pokémon from fleeing from battle."
"armor-tail","The mysterious tail covering the Pokémon's head makes opponents unable to use priority moves against the Pokémon or its allies."
"aroma-veil","Protects the Pokémon and its allies from effects that prevent the use of moves."
"as-one-glastrier","This Ability combines the effects of both Calyrex's Unnerve Ability and Glastrier's Chilling Neigh Ability."
"as-one-spectrier","This Ability combines the effects of both Calyrex's Unnerve Ability and Spectrier's Grim Neigh Ability."
"aura-break","The effects of “Aura” Abilities are reversed to lower the power of affected moves."
"bad-dreams","Damages opposing Pokémon that are asleep."
"ball-fetch","If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
"battery","Powers up ally Pokémon's special moves."
"battle-armor","Hard armor protects the Pokémon from critical hits."
"battle-bond","When the Pokémon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted."
"beads-of-ruin","The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself."
"beast-boost","The Pokémon boosts its most proficient stat each time it knocks out a Pokémon."
"berserk","Boosts the Pokémon's Sp. Atk stat when it takes a  hit that causes its HP to become half or less."
"big-pecks","Prevents the Pokémon from having its Defense stat lowered."
"blaze","Powers up Fire-type moves when the Pokémon's HP is low."
"bulletproof","Protects the Pokémon from some ball and bomb moves."
"cheek-pouch","The Pokémon's HP is restored when it eats any Berry, in addition to the Berry's usual effect."
"chilling-neigh","When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat."
"chlorophyll","Boosts the Pokémon's Speed stat in harsh sunlight."
"clear-body","Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats."
"cloud-nine","Eliminates the effects of weather."
"color-change","The Pokémon’s type becomes the type of the move used on it."
"comatose","The Pokémon is always drowsing and will never wake up. It can attack while in its sleeping state."
"commander","When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there."
"competitive","Boosts the Pokémon's Sp. Atk stat sharply when its stats are lowered by an opposing Pokémon."
"compound-eyes","The Pokémon's compound eyes boost its accuracy."
"contrary","Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them—and attempts to lower its stats will boost them."
"corrosion","The Pokémon can poison the target even if it's a Steel or Poison type."
"costar","When the Pokémon enters a battle, it copies an ally's stat changes."
"cotton-down","When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself."
"cud-chew","When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time."
"curious-medicine","When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies."
"cursed-body","May disable a move that has dealt damage to the Pokémon."
"cute-charm","The Pokémon may infatuate attackers that make direct contact with it."
"damp","The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct."
"dancer","Whenever a dance move is used in battle, the Pokémon will copy the user to immediately perform that dance move itself."
"dark-aura","Powers up each Pokémon’s Dark-type moves."
"dauntless-shield","Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle."
"dazzling","The Pokémon dazzles its opponents, making them unable to use priority moves against the Pokémon or its allies."
"defeatist","Halves the Pokémon’s Attack and Sp. Atk stats when its HP becomes half or less."
"defiant","If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply."
"delta-stream","The Pokémon changes the weather to eliminate all of the Flying type’s weaknesses."
"desolate-land","The Pokémon changes the weather to nullify Water-type attacks."
"disguise","Once per battle, the shroud that covers the Pokémon can protect it from an attack."
"download","The Pokémon compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective."
"dragonize","The Pokémon's Normal-type moves become Dragon-type moves and their power is boosted by 20%."
"dragons-maw","Powers up Dragon-type moves."
"drizzle","The Pokémon makes it rain when it enters a battle."
"drought","Turns the sunlight harsh when the Pokémon enters a battle."
"dry-skin","Restores the Pokémon's HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves."
"early-bird","The Pokémon awakens from sleep twice as fast as other Pokémon."
"earth-eater","If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage."
"effect-spore","Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker."
"electric-surge","Turns the ground into Electric Terrain when the Pokémon enters a battle."
"electromorphosis","The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses."
"embody-aspect","The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's stats to be boosted."
"emergency-exit","The Pokémon, sensing danger, switches out when its HP becomes half or less."
"fairy-aura","Powers up every Pokémon in play's Fairy-type moves by 33%"
"filter","Reduces the power of supereffective attacks that hit the Pokémon."
"flame-body","Contact with the Pokémon may burn the attacker."
"flare-boost","Powers up special moves when the Pokémon is burned."
"flash-fire","If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves."
"flower-gift","Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight."
"flower-veil","Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats."
"fluffy","Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves."
"forecast","The Pokémon transforms with the weather to change its type to Water, Fire, or Ice."
"forewarn","When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has."
"friend-guard","Reduces damage dealt to allies."
"frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item."
"full-metal-body","Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats."
"fur-coat","Halves the damage from physical moves."
"gale-wings","Gives priority to the Pokémon's Flying-type moves while its HP is full."
"galvanize","Normal-type moves become Electric-type moves. The power of those moves is boosted a little."
"gluttony","If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less."
"good-as-gold","A body of pure, solid gold gives the Pokémon full immunity to other Pokémon's status moves."
"gooey","Contact with the Pokémon lowers the attacker's Speed stat."
"gorilla-tactics","Boosts the Pokémon’s Attack stat but only allows the use of the first selected move."
"grass-pelt","Boosts the Pokémon's Defense stat on Grassy Terrain."
"grassy-surge","Turns the ground into Grassy Terrain when the Pokémon enters a battle."
"grim-neigh","When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat."
"guard-dog","Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work."
"gulp-missile","When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack."
"guts","It's so gutsy that having a status condition boosts the Pokémon's Attack stat."
"hadron-engine","Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain."
"harvest","May create another Berry after one is used."
"healer","Sometimes cures the status conditions of the Pokémon's allies."
"heatproof","The Pokémon's heatproof body halves the damage taken from Fire-type moves."
"heavy-metal","Doubles the Pokémon's weight."
"honey-gather","The Pokémon may gather Honey after a battle."
"hospitality","When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP"
"huge-power","The Pokémon's Attack stat is doubled while it has this ability."
"hunger-switch","The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn."
"hustle","Boosts the Pokémon's Attack stat but lowers its accuracy."
"hydration","Cures the Pokémon's status conditions in rain."
"hyper-cutter","The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat."
"ice-body","The Pokémon gradually regains HP in snow."
"ice-face","The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it snows."
"ice-scales","The Pokémon is protected by ice scales, which halve the damage taken from special moves."
"illuminate","By illuminating its surroundings, the Pokémon prevents its accuracy from being lowered."
"illusion","The Pokémon fools opponents by entering battle disguised as the last Pokémon in its Trainer's party."
"immunity","The Pokémon's immune system prevents it from being poisoned."
"imposter","The Pokémon transforms itself into the Pokémon it's facing."
"infiltrator","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored."
"innards-out","Damages the attacker landing the finishing hit by the amount equal to its last HP."
"inner-focus","The Pokémon's intense focus prevents it from flinching or being affected by Intimidate."
"insomnia","The Pokémon's insomnia prevents it from falling asleep."
"intimidate","When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats."
"intrepid-sword","Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle."
"iron-barbs","Inflicts damage on the attacker upon contact with iron barbs."
"iron-fist","The power of punching moves is increased by 20%. This stacks with"
"justified","When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice."
"keen-eye","The Pokémon's keen eyes prevent its accuracy from being lowered."
"klutz","The Pokémon can't use any held items."
"leaf-guard","Prevents status conditions in harsh sunlight."
"levitate","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes."
"libero","Changes the Pokémon's type to the type of the move it's about to use. This works only once each time the Pokémon enters battle."
"light-metal","Halves the Pokémon's weight."
"lightning-rod","The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted."
"limber","The Pokémon's limber body prevents it from being paralyzed."
"lingering-aroma","Contact with the Pokémon changes the attacker's Ability to Lingering Aroma."
"liquid-ooze","The strong stench of the Pokémon's oozed liquid damages attackers that use HP-draining moves."
"liquid-voice","Sound-based moves become Water-type moves."
"long-reach","The Pokémon uses its moves without making contact with the target."
"magic-bounce","Reflects non-attacking moves used on the Pokémon back to the attacking Pokémon"
"magic-guard","The Pokémon only takes damage from attacks."
"magician","The Pokémon steals the held item from any target it hits with a move."
"magma-armor","The Pokémon’s hot magma coating prevents it from being frozen."
"magnet-pull","Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism."
"marvel-scale","The Pokémon's marvelous scales boost its Defense stat if it has a status condition."
"mega-launcher","Powers up pulse moves."
"mega-sol","Even when the sunlight has not turned harsh, the Pokémon can use its moves as if the weather were harsh sunlight."
"merciless","The Pokémon's attacks become critical hits if the target is poisoned."
"mimicry","Changes the Pokémon’s type depending on the terrain."
"minds-eye","The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal-type and Fighting-type moves"
"minus","Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle."
"mirror-armor","Bounces back only the stat-lowering effects that the Pokémon receives."
